"","x"
"1","RT @apyus: Eu sinceramente acho que, ao menos do lado de cá, o pessoal anda mais indignado com a truculência da militância do que com Bolso…"
"2","RT @Michele_BSP: #CiteUmaDúvida #HojeEuNaoToAfim #SegundaDetremuraSDV
#NemLulaNemBolsonaro

Nenhum deles me representa<ed><U+00A0><U+00BD><ed><U+00B1><U+008E>
Parem de achar que…"
"3","Aé pq ter uma opinião contrária de quem é favor do Bolsonaro super quer dizer que a pessoa é pró Lula. Aham. https://t.co/abjOl22VP2"
"4","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"5","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"6","RT @radicapitalista: Bora pensar...O desespero é tão grande que já nem fazem propaganda do seu candidato. A propaganda é contra Bolsonaro.…"
"7","RT @DeicideUH: @ajulysantos Fora o uso de verba pública (que até perdoo até certo limite, visto que não espero santos nesse meio), tem umas…"
"8","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"9","RT @DeicideUH: @ajulysantos Sentimentos parecidos aqui, Juliana.
O pessoal até chegou a me animar com o Bolsonaro lá por 2015, mas aí comec…"
"10","RT @radiobandnewsfm: O deputado federal Jair Bolsonaro aumenta em 39% os gastos com passagens aéreas pagas com dinheiro público da Câmara.…"
"11","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"12","RT @sapatassa: e teu pai que era quase um advogado do bolsonaro aos 13 anos"
"13","RT @jamesseixas: @jwbranda @CleberAmaral_ @0_marcia @BEBRUDER @FAXINANOPODER_ @Ecletica1 @RoseVLB @subeida1 @MementoMoriXF @edmilsonpapo10…"
"14","Pré-candidata a presidência e ex- âncora do JN, Valéria Monteiro compara Bolsonaro a Hitler
https://t.co/YN6hCSojYV"
